[24/09/2012 01:47:17] !addpoints
[24/09/2012 01:47:20] !addpoints 10
[24/09/2012 01:47:22] !addpoints 10
[24/09/2012 01:47:23] !addpoints 10
[24/09/2012 01:47:23] !addpoints 10
[24/09/2012 01:47:24] !addpoints 10
[24/09/2012 01:47:24] !addpoints 10
[24/09/2012 01:47:24] !addpoints 10
[24/09/2012 01:47:27] !addpoints 10000000000000000000000000000000
[24/09/2012 01:47:28] !addpoints 10000000000000000000000000000000
[24/09/2012 01:47:28] !addpoints 10000000000000000000000000000000
[24/09/2012 01:47:29] !addpoints 10000000000000000000000000000000
[24/09/2012 01:47:29] !addpoints 10000000000000000000000000000000
